TF,sesi,mode,n,net$,PF,WR%,avgR,maxDD$,thn_hijau
H4,slot1_asia,direct,48,3424.0,3.75,14.6,2.378,-304.0,3/6
H4,slot2_london,direct,97,2590.0,2.06,16.5,0.89,-837.0,3/6
H1,slot1_asia,direct,368,6820.0,1.81,23.1,0.618,-1334.0,4/6
H1,slot1_asia,conservative,157,2045.0,1.88,27.4,0.434,-251.0,4/6
H4,all_day,conservative,299,3635.0,1.58,28.8,0.405,-1302.0,5/7
H4,slot3_ny,direct,109,1184.0,1.45,18.3,0.362,-656.0,4/6
M30,slot1_asia,direct,882,7400.0,1.43,27.2,0.28,-1787.0,4/6
H4,slot2_london,conservative,45,300.0,1.32,28.9,0.222,-366.0,3/6
H4,all_day,direct,722,3564.0,1.23,26.6,0.165,-1288.0,5/7
H1,slot3_ny,conservative,365,1651.0,1.31,36.2,0.151,-740.0,4/6
H4,slot3_ny,conservative,54,221.0,1.2,27.8,0.136,-223.0,3/6
H1,all_day,conservative,1098,4054.0,1.24,31.0,0.123,-1388.0,4/7
M30,slot1_asia,conservative,412,1066.0,1.25,35.0,0.086,-977.0,3/6
M30,slot2_london,conservative,601,1446.0,1.22,30.4,0.08,-684.0,3/6
M30,slot2_london,direct,1076,2336.0,1.12,26.0,0.072,-1077.0,5/6
M30,slot3_ny,conservative,723,1343.0,1.14,36.1,0.062,-661.0,5/6
M30,all_day,conservative,2296,3601.0,1.13,32.9,0.052,-1521.0,4/7
M15,slot1_asia,direct,1972,3045.0,1.11,28.9,0.051,-1909.0,5/6
H1,slot3_ny,direct,610,899.0,1.07,25.2,0.049,-1648.0,3/6
M30,slot3_ny,direct,1345,1714.0,1.07,29.0,0.042,-2602.0,3/6
H1,all_day,direct,2651,2842.0,1.07,30.6,0.036,-2869.0,3/7
M15,slot3_ny,conservative,1207,1268.0,1.09,34.9,0.035,-1122.0,4/6
M15,slot2_london,direct,2302,1817.0,1.06,27.9,0.026,-2244.0,4/6
M15,all_day,conservative,4562,2577.0,1.06,34.0,0.019,-1855.0,3/7
M15,slot3_ny,direct,2564,1164.0,1.03,29.4,0.015,-3299.0,1/6
M30,all_day,direct,5464,1177.0,1.02,33.0,0.007,-4596.0,3/7
M15,slot2_london,conservative,1101,237.0,1.03,33.5,0.007,-808.0,2/6
M5,slot2_london,direct,7157,120.0,1.0,31.6,0.001,-3842.0,3/6
M5,slot1_asia,direct,6881,-78.0,1.0,30.9,-0.0,-2641.0,2/6
M5,slot1_asia,conservative,2955,-78.0,0.99,35.3,-0.001,-1210.0,2/6
M15,slot1_asia,conservative,975,-41.0,0.99,34.1,-0.001,-1040.0,2/6
M5,slot3_ny,direct,7192,-1235.0,0.98,32.4,-0.006,-5872.0,2/6
M1,slot2_london,conservative,16004,-6009.0,0.84,32.2,-0.013,-6254.0,0/6
M1,slot2_london,direct,38709,-16239.0,0.86,31.8,-0.014,-16520.0,0/6
M1,slot1_asia,conservative,15885,-7163.0,0.8,30.8,-0.015,-7447.0,0/6
M15,all_day,direct,11055,-4904.0,0.95,34.2,-0.015,-7722.0,2/7
M5,slot2_london,conservative,3026,-1485.0,0.9,33.7,-0.016,-1673.0,1/6
M1,all_day,conservative,80457,-39251.0,0.8,31.0,-0.016,-39529.0,0/7
M5,all_day,direct,35431,-17809.0,0.91,33.4,-0.017,-19012.0,0/7
M1,slot3_ny,conservative,15655,-8136.0,0.85,32.6,-0.017,-8331.0,0/6
M1,all_day,direct,196090,-105432.0,0.78,31.7,-0.018,-105671.0,1/7
M1,slot1_asia,direct,38636,-20801.0,0.81,30.7,-0.018,-21145.0,0/6
M5,all_day,conservative,14713,-8357.0,0.89,32.5,-0.019,-9011.0,1/7
M1,slot3_ny,direct,37770,-22098.0,0.85,32.9,-0.02,-22122.0,0/6
M5,slot3_ny,conservative,3054,-3045.0,0.87,32.1,-0.033,-3409.0,0/6
H1,slot2_london,direct,437,-1044.0,0.9,20.1,-0.08,-1446.0,2/6
H1,slot2_london,conservative,218,-1530.0,0.6,24.8,-0.234,-2034.0,1/6
