blok,label,n,akhir$,CAGR%,maxDD%,Ret/DD,bln_merah%,merah_beruntun,bln_terburuk$,dilewati
A,tanpa filter,1658,1466,7.2,-24.1,0.3,45,4,-210,0.0
B,tanpa filter,6632,1208,3.5,-30.1,0.12,48,4,-207,
A,cap 0.8%,568,1070,1.5,-23.4,0.06,54,5,-62,1090.0
B,cap 2.0%,5379,1088,1.6,-29.5,0.05,42,4,-110,
A,cap 2.0%,1291,1025,0.4,-32.4,0.01,45,3,-114,367.0
B,cap 0.8%,2157,935,-1.4,-23.1,-0.06,62,5,-64,
B,cap 3.0%,6050,903,-1.9,-27.0,-0.07,47,4,-118,
A,cap 3.0%,1511,873,-2.4,-33.3,-0.07,44,4,-157,147.0
A,cap 1.2%,805,839,-3.7,-27.7,-0.13,57,4,-82,853.0
B,cap 1.2%,3351,777,-5.2,-33.1,-0.16,61,7,-97,
