konfigurasi,n,net,PF,maxDD%,thn%,Ret/DD,hijau,merah%,beruntun,risk_med%,risk_max%,netSide
M5 e1.2 TP1:3 cons,121283,-8904,0.73,-889.1,-162.5,-0.18,1/7,91,51,0.3,20.6,-5558
M5 e1.2 TP1:4 cons,121283,-8697,0.73,-868.9,-158.8,-0.18,1/7,91,51,0.3,20.6,-5506
M5 e1.8 TP1:3 cons,65645,-3966,0.82,-425.1,-72.4,-0.17,2/7,85,23,0.4,16.0,-2947
M5 e1.8 TP1:4 cons,65645,-3718,0.83,-411.6,-67.9,-0.16,2/7,84,21,0.4,16.0,-2952
M5 e2.5 TP1:3 cons,35433,-1626,0.89,-223.9,-29.7,-0.13,2/7,70,10,0.5,18.3,-1385
M5 e2.5 TP1:4 cons,35433,-1518,0.9,-212.3,-27.7,-0.13,2/7,67,10,0.5,18.3,-1332
M5 e1.2 TP1:3 dire,282506,-21752,0.71,-2179.1,-397.0,-0.18,1/7,97,62,0.3,20.6,-12572
M5 e1.2 TP1:4 dire,282506,-21444,0.72,-2149.3,-391.4,-0.18,1/7,97,62,0.3,20.6,-12576
M5 e1.8 TP1:3 dire,171172,-13423,0.77,-1319.8,-245.0,-0.19,0/7,96,50,0.4,18.2,-7890
M5 e1.8 TP1:4 dire,171172,-13108,0.77,-1307.3,-239.3,-0.18,0/7,96,50,0.4,18.2,-8030
M5 e2.5 TP1:3 dire,107570,-8305,0.81,-822.7,-151.6,-0.18,0/7,91,24,0.5,19.0,-4353
M5 e2.5 TP1:4 dire,107570,-7935,0.82,-787.8,-144.8,-0.18,0/7,88,14,0.5,19.0,-4351
M15 e1.2 TP1:3 cons,37694,-407,0.98,-195.1,-7.4,-0.04,2/6,67,8,0.6,35.8,-1411
M15 e1.2 TP1:4 cons,37694,-877,0.95,-206.8,-16.0,-0.08,2/6,71,8,0.6,35.8,-1488
M15 e1.8 TP1:3 cons,20457,602,1.05,-93.7,11.0,0.12,2/6,68,10,0.7,30.6,-687
M15 e1.8 TP1:4 cons,20457,516,1.05,-94.8,9.4,0.1,2/6,65,10,0.7,30.6,-647
M15 e2.5 TP1:3 cons,11533,778,1.1,-88.5,14.2,0.16,1/6,58,6,0.9,21.7,-498
M15 e2.5 TP1:4 cons,11533,1031,1.13,-86.4,18.9,0.22,1/6,58,6,0.9,21.7,-508
M15 e1.2 TP1:3 dire,88240,-5188,0.87,-542.7,-94.8,-0.17,0/6,85,13,0.6,35.8,-3544
M15 e1.2 TP1:4 dire,88240,-5876,0.85,-588.3,-107.4,-0.18,0/6,83,13,0.6,35.8,-3727
M15 e1.8 TP1:3 dire,53504,-3357,0.89,-348.1,-61.4,-0.18,0/6,74,13,0.7,30.6,-2087
M15 e1.8 TP1:4 dire,53504,-3527,0.88,-369.6,-64.5,-0.17,0/6,74,6,0.7,30.6,-2068
M15 e2.5 TP1:3 dire,34104,-1185,0.95,-230.4,-21.7,-0.09,1/6,68,9,0.8,26.3,-1702
M15 e2.5 TP1:4 dire,34104,-931,0.96,-217.5,-17.0,-0.08,2/6,65,12,0.8,26.3,-1619
M30 e1.2 TP1:3 cons,18798,-473,0.96,-127.5,-8.6,-0.07,1/6,67,6,0.9,40.8,-828
M30 e1.2 TP1:4 cons,18798,-88,0.99,-112.3,-1.6,-0.01,2/6,61,5,0.9,40.8,-773
M30 e1.8 TP1:3 cons,10206,179,1.02,-112.1,3.3,0.03,2/6,70,10,1.1,40.8,-837
M30 e1.8 TP1:4 cons,10206,720,1.09,-98.3,13.2,0.13,2/6,70,20,1.1,40.8,-773
M30 e2.5 TP1:3 cons,5691,1112,1.21,-58.4,20.4,0.35,2/6,61,6,1.3,32.8,-308
M30 e2.5 TP1:4 cons,5691,1331,1.25,-45.5,24.4,0.54,2/6,58,6,1.3,32.8,-224
M30 e1.2 TP1:3 dire,43664,-2236,0.92,-295.7,-40.9,-0.14,2/6,67,8,0.9,40.8,-1995
M30 e1.2 TP1:4 dire,43664,-1694,0.94,-288.0,-31.0,-0.11,2/6,64,8,0.9,40.8,-1971
M30 e1.8 TP1:3 dire,26528,-795,0.96,-236.2,-14.6,-0.06,2/6,67,7,1.0,40.8,-1551
