TF,atr,mult_e,mult_t,mode,sesi,n,net,PF,WR%,avgR,maxDD,hijau,netSide,netBull,avgR_side
M15,7,1.2,-,direct,all,11141,-3000,0.92,33.6,-0.073,-3599,1/6,-2097,-903,-0.0985
M15,7,1.2,-,direct,asia,2368,614,1.09,36.0,-0.0583,-505,2/6,-327,941,-0.1037
M15,7,1.2,-,direct,ny,2792,-610,0.95,35.6,-0.0373,-878,1/6,-318,-292,-0.0463
M15,7,1.2,2.5,moderate,all,7697,-1096,0.96,33.3,-0.0528,-2475,2/6,-1711,615,-0.0837
M15,7,1.2,2.5,moderate,asia,1760,350,1.07,35.7,-0.0554,-633,2/6,-398,748,-0.1025
M15,7,1.2,2.5,moderate,ny,2053,-274,0.97,35.2,-0.0338,-756,3/6,-301,27,-0.0464
M15,7,1.2,2.5,conservative,all,4062,1131,1.08,33.7,-0.0373,-856,3/6,-620,1752,-0.0779
M15,7,1.2,2.5,conservative,asia,897,568,1.23,35.9,-0.0374,-315,2/6,-133,701,-0.103
M15,7,1.2,2.5,conservative,ny,1062,197,1.04,35.2,-0.0202,-472,4/6,-104,302,-0.0327
M15,7,1.2,-,buy_only,all,5570,-1101,0.94,34.7,-0.0431,-1245,2/6,-1105,3,-0.0902
M15,7,1.2,-,buy_only,asia,1159,-192,0.94,36.8,-0.0321,-420,2/6,-138,-53,-0.0885
M15,7,1.2,-,buy_only,ny,1371,-380,0.94,35.7,-0.0316,-469,1/6,-296,-84,-0.0771
M15,7,1.2,-,sell_only,all,5571,-1899,0.9,32.5,-0.1029,-3266,1/6,-992,-907,-0.1068
M15,7,1.2,-,sell_only,asia,1209,805,1.24,35.3,-0.0834,-483,2/6,-189,995,-0.1185
M15,7,1.2,-,sell_only,ny,1421,-230,0.96,35.4,-0.0427,-805,2/6,-22,-208,-0.0162
M15,7,1.2,3.8,moderate,all,6759,-1019,0.96,33.5,-0.0546,-2216,2/6,-1416,397,-0.0828
M15,7,1.2,3.8,moderate,asia,1504,-229,0.95,33.3,-0.1001,-871,1/6,-444,215,-0.144
M15,7,1.2,3.8,moderate,ny,1830,-78,0.99,35.9,-0.0292,-724,3/6,-325,248,-0.0572
M15,7,1.2,3.8,conservative,all,4595,774,1.05,33.7,-0.0463,-1076,2/6,-722,1496,-0.0805
M15,7,1.2,3.8,conservative,asia,1001,315,1.11,33.3,-0.1047,-552,2/6,-230,545,-0.1544
M15,7,1.2,3.8,conservative,ny,1155,599,1.12,36.0,-0.0077,-389,4/6,-175,774,-0.0518
M15,7,1.2,5.0,moderate,all,6371,-203,0.99,33.7,-0.0465,-1663,2/6,-1206,1002,-0.0793
M15,7,1.2,5.0,moderate,asia,1362,249,1.06,33.4,-0.0645,-468,2/6,-319,567,-0.1217
M15,7,1.2,5.0,moderate,ny,1718,241,1.03,37.1,-0.0123,-504,3/6,-197,438,-0.0463
M15,7,1.2,5.0,conservative,all,4906,669,1.04,34.0,-0.0443,-1000,3/6,-808,1477,-0.0815
M15,7,1.2,5.0,conservative,asia,1083,709,1.24,34.4,-0.0593,-308,2/6,-197,906,-0.1264
M15,7,1.2,5.0,conservative,ny,1218,180,1.04,36.1,-0.0051,-320,3/6,-206,385,-0.0472
M15,7,1.8,-,direct,all,6685,-1805,0.94,33.7,-0.0678,-2085,0/6,-1284,-521,-0.0877
M15,7,1.8,-,direct,asia,1515,351,1.07,35.5,-0.0598,-436,2/6,-304,655,-0.1046
M15,7,1.8,-,direct,ny,1835,160,1.02,36.6,-0.0133,-593,4/6,50,111,-0.011
M15,7,1.8,2.5,moderate,all,5468,-620,0.97,33.5,-0.0557,-2016,2/6,-1223,604,-0.0809
M15,7,1.8,2.5,moderate,asia,1291,107,1.03,34.0,-0.0761,-697,2/6,-389,496,-0.111
M15,7,1.8,2.5,moderate,ny,1578,116,1.01,37.5,-0.0307,-791,3/6,34,82,-0.0219
M15,7,1.8,2.5,conservative,all,2538,851,1.08,35.1,-0.0331,-663,2/6,-237,1088,-0.0569
M15,7,1.8,2.5,conservative,asia,580,618,1.34,38.1,-0.0376,-216,3/6,-100,718,-0.0913
M15,7,1.8,2.5,conservative,ny,822,-96,0.98,35.4,-0.0524,-626,3/6,-7,-89,-0.0382
M15,7,1.8,-,buy_only,all,3342,-152,0.99,35.7,-0.0285,-862,2/6,-583,431,-0.0795
M15,7,1.8,-,buy_only,asia,732,-176,0.93,36.9,-0.0474,-438,2/6,-214,38,-0.1204
M15,7,1.8,-,buy_only,ny,891,-225,0.95,36.3,-0.0129,-454,3/6,-53,-172,-0.0345
M15,7,1.8,-,sell_only,all,3343,-1653,0.89,31.8,-0.1072,-2307,1/6,-701,-952,-0.0959
M15,7,1.8,-,sell_only,asia,783,527,1.19,34.2,-0.0714,-424,3/6,-90,617,-0.0899
M15,7,1.8,-,sell_only,ny,944,385,1.08,36.9,-0.0137,-452,3/6,102,283,0.0116
M15,7,1.8,3.8,moderate,all,4529,-583,0.97,34.0,-0.0512,-1758,2/6,-1000,417,-0.0756
M15,7,1.8,3.8,moderate,asia,1064,-254,0.93,33.8,-0.0859,-829,1/6,-369,115,-0.1315
M15,7,1.8,3.8,moderate,ny,1353,-62,0.99,37.9,-0.0431,-982,2/6,-133,71,-0.0524
M15,7,1.8,3.8,conservative,all,2412,1379,1.13,34.7,-0.0241,-648,4/6,-161,1540,-0.0481
M15,7,1.8,3.8,conservative,asia,569,446,1.24,34.8,-0.0881,-316,3/6,-151,597,-0.1441
M15,7,1.8,3.8,conservative,ny,704,459,1.12,35.2,-0.0281,-666,2/6,-49,509,-0.0601
M15,7,1.8,5.0,moderate,all,4143,301,1.02,33.9,-0.0383,-1121,2/6,-670,971,-0.0587
M15,7,1.8,5.0,moderate,asia,900,-96,0.97,33.2,-0.0731,-549,2/6,-259,163,-0.1053
M15,7,1.8,5.0,moderate,ny,1254,369,1.06,38.3,-0.0156,-425,3/6,109,260,-0.0255
M15,7,1.8,5.0,conservative,all,2690,1514,1.13,34.5,-0.0256,-487,2/6,-238,1753,-0.0531
M15,7,1.8,5.0,conservative,asia,622,604,1.3,35.0,-0.0603,-259,2/6,-124,728,-0.1076
M15,7,1.8,5.0,conservative,ny,766,503,1.12,36.6,-0.0012,-347,3/6,107,396,-0.0129
M15,7,2.5,-,direct,all,4247,571,1.03,33.6,-0.0381,-1579,2/6,-869,1440,-0.076
M15,7,2.5,-,direct,asia,994,373,1.09,32.2,-0.0424,-420,2/6,-279,652,-0.1095
M15,7,2.5,-,direct,ny,1253,-494,0.93,37.1,-0.0467,-906,1/6,-296,-198,-0.0592
M15,7,2.5,2.5,moderate,all,4247,571,1.03,33.6,-0.0381,-1579,2/6,-869,1440,-0.076
M15,7,2.5,2.5,moderate,asia,994,373,1.09,32.2,-0.0424,-420,2/6,-279,652,-0.1095
M15,7,2.5,2.5,moderate,ny,1253,-494,0.93,37.1,-0.0467,-906,1/6,-296,-198,-0.0592
M15,7,2.5,2.5,conservative,all,4247,571,1.03,33.6,-0.0381,-1579,2/6,-869,1440,-0.076
M15,7,2.5,2.5,conservative,asia,994,373,1.09,32.2,-0.0424,-420,2/6,-279,652,-0.1095
M15,7,2.5,2.5,conservative,ny,1253,-494,0.93,37.1,-0.0467,-906,1/6,-296,-198,-0.0592
M15,7,2.5,-,buy_only,all,2123,976,1.09,35.6,0.0056,-560,3/6,-408,1384,-0.0658
M15,7,2.5,-,buy_only,asia,519,185,1.09,34.5,-0.0016,-406,4/6,-178,363,-0.0939
M15,7,2.5,-,buy_only,ny,604,14,1.0,37.3,-0.0333,-309,3/6,-177,191,-0.0893
M15,7,2.5,-,sell_only,all,2124,-406,0.96,31.5,-0.0818,-1920,1/6,-461,55,-0.0862
M15,7,2.5,-,sell_only,asia,475,188,1.08,29.7,-0.087,-469,1/6,-101,289,-0.1269
M15,7,2.5,-,sell_only,ny,649,-508,0.87,37.0,-0.0591,-939,2/6,-119,-389,-0.031
M15,7,2.5,3.8,moderate,all,3312,569,1.03,33.8,-0.0334,-1351,2/6,-687,1256,-0.0702
M15,7,2.5,3.8,moderate,asia,765,482,1.14,32.7,-0.021,-341,2/6,-236,717,-0.0961
M15,7,2.5,3.8,moderate,ny,1039,-911,0.86,37.2,-0.0674,-1276,1/6,-332,-579,-0.0794
M15,7,2.5,3.8,conservative,all,1390,1086,1.15,33.7,-0.0119,-846,2/6,-171,1257,-0.0395
M15,7,2.5,3.8,conservative,asia,310,525,1.41,32.6,-0.0233,-241,3/6,-49,574,-0.0778
M15,7,2.5,3.8,conservative,ny,471,-364,0.87,33.5,-0.0992,-810,1/6,-284,-80,-0.1266
M15,7,2.5,5.0,moderate,all,2924,912,1.06,33.5,-0.021,-895,2/6,-536,1448,-0.0519
M15,7,2.5,5.0,moderate,asia,601,612,1.22,32.9,0.0141,-415,3/6,-140,752,-0.0498
M15,7,2.5,5.0,moderate,ny,948,-428,0.93,37.3,-0.0461,-779,2/6,-209,-219,-0.0758
M15,7,2.5,5.0,conservative,all,1494,1144,1.15,34.3,-0.0033,-454,1/6,-103,1247,-0.0316
M15,7,2.5,5.0,conservative,asia,329,656,1.5,35.6,0.0486,-109,5/6,-13,669,-0.0212
M15,7,2.5,5.0,conservative,ny,470,-199,0.93,34.3,-0.0679,-672,1/6,-211,12,-0.101
M15,10,1.2,-,direct,all,11053,-2681,0.93,34.2,-0.0638,-3188,1/6,-2026,-655,-0.0886
M15,10,1.2,-,direct,asia,2276,389,1.06,35.9,-0.0537,-534,2/6,-278,667,-0.0926
M15,10,1.2,-,direct,ny,2930,-810,0.93,35.6,-0.0329,-880,1/6,-384,-426,-0.0426
M15,10,1.2,2.5,moderate,all,7660,-1373,0.95,33.5,-0.0516,-2385,2/6,-1754,381,-0.084
M15,10,1.2,2.5,moderate,asia,1672,157,1.03,35.6,-0.0725,-671,2/6,-384,541,-0.1241
M15,10,1.2,2.5,moderate,ny,2148,-725,0.92,35.1,-0.0306,-876,2/6,-309,-417,-0.0372
M15,10,1.2,2.5,conservative,all,3981,1108,1.08,34.1,-0.0414,-963,2/6,-684,1792,-0.084
M15,10,1.2,2.5,conservative,asia,833,536,1.23,35.2,-0.0785,-436,2/6,-226,762,-0.172
M15,10,1.2,2.5,conservative,ny,1102,-24,1.0,35.3,-0.0182,-396,4/6,-56,32,-0.0154
M15,10,1.2,-,buy_only,all,5526,-1019,0.95,35.1,-0.0347,-1175,2/6,-1096,77,-0.0827
M15,10,1.2,-,buy_only,asia,1112,-182,0.95,36.9,-0.0192,-441,2/6,-122,-60,-0.0763
M15,10,1.2,-,buy_only,ny,1447,-443,0.93,35.8,-0.0193,-541,2/6,-296,-147,-0.0613
M15,10,1.2,-,sell_only,all,5527,-1662,0.91,33.3,-0.0929,-3045,1/6,-930,-732,-0.0946
M15,10,1.2,-,sell_only,asia,1164,571,1.17,35.1,-0.0866,-498,2/6,-157,727,-0.1084
M15,10,1.2,-,sell_only,ny,1483,-367,0.94,35.3,-0.0462,-806,2/6,-88,-279,-0.0241
M15,10,1.2,3.8,moderate,all,6697,-1154,0.95,33.6,-0.0509,-2369,2/6,-1392,239,-0.0773
M15,10,1.2,3.8,moderate,asia,1410,-439,0.9,32.4,-0.0891,-782,2/6,-375,-64,-0.135
M15,10,1.2,3.8,moderate,ny,1914,-116,0.99,35.9,-0.0269,-704,2/6,-390,274,-0.0574
M15,10,1.2,3.8,conservative,all,4560,641,1.04,34.2,-0.0468,-1255,2/6,-786,1428,-0.082
M15,10,1.2,3.8,conservative,asia,975,258,1.09,33.0,-0.0972,-594,2/6,-232,490,-0.1554
M15,10,1.2,3.8,conservative,ny,1206,209,1.04,35.9,-0.013,-389,3/6,-224,432,-0.0611
M15,10,1.2,5.0,moderate,all,6309,-320,0.99,33.9,-0.0456,-1739,2/6,-1242,922,-0.0776
M15,10,1.2,5.0,moderate,asia,1276,213,1.06,33.8,-0.0676,-491,2/6,-341,554,-0.1305
M15,10,1.2,5.0,moderate,ny,1790,140,1.02,36.8,0.0027,-446,3/6,-141,280,-0.0256
M15,10,1.2,5.0,conservative,all,4878,686,1.04,34.6,-0.0393,-949,2/6,-739,1425,-0.0757
M15,10,1.2,5.0,conservative,asia,1047,476,1.16,34.2,-0.0667,-370,2/6,-219,695,-0.1325
M15,10,1.2,5.0,conservative,ny,1284,201,1.04,36.8,0.0212,-381,2/6,-40,240,-0.0108
M15,10,1.8,-,direct,all,6715,-1820,0.94,33.8,-0.0586,-1908,0/6,-1255,-566,-0.0752
M15,10,1.8,-,direct,asia,1452,25,1.0,35.3,-0.0541,-501,1/6,-307,332,-0.0898
M15,10,1.8,-,direct,ny,1927,51,1.01,37.1,-0.0056,-482,4/6,130,-79,0.0049
M15,10,1.8,2.5,moderate,all,5489,-910,0.96,33.4,-0.0519,-1642,1/6,-1304,394,-0.0806
M15,10,1.8,2.5,moderate,asia,1231,31,1.01,33.7,-0.0765,-743,1/6,-358,389,-0.1158
M15,10,1.8,2.5,moderate,ny,1645,-260,0.97,36.9,-0.0245,-597,3/6,16,-276,-0.0148
M15,10,1.8,2.5,conservative,all,2516,289,1.03,33.9,-0.0388,-588,2/6,-419,708,-0.0701
M15,10,1.8,2.5,conservative,asia,537,350,1.19,34.5,-0.0765,-304,2/6,-206,556,-0.1749
M15,10,1.8,2.5,conservative,ny,842,-444,0.91,35.0,-0.0529,-733,1/6,-13,-431,-0.0221
M15,10,1.8,-,buy_only,all,3357,-79,0.99,35.8,-0.0239,-855,2/6,-617,538,-0.0756
M15,10,1.8,-,buy_only,asia,711,-299,0.88,36.1,-0.0583,-376,2/6,-248,-51,-0.1344
M15,10,1.8,-,buy_only,ny,935,-141,0.97,37.5,0.0042,-545,3/6,-2,-138,-0.016
M15,10,1.8,-,sell_only,all,3358,-1741,0.88,31.8,-0.0933,-2408,0/6,-637,-1104,-0.0749
M15,10,1.8,-,sell_only,asia,741,324,1.12,34.4,-0.0501,-493,2/6,-59,383,-0.0456
M15,10,1.8,-,sell_only,ny,992,192,1.04,36.7,-0.0148,-397,3/6,133,59,0.0248
M15,10,1.8,3.8,moderate,all,4528,-959,0.95,33.2,-0.0461,-1661,2/6,-1069,109,-0.0676
M15,10,1.8,3.8,moderate,asia,975,-476,0.88,32.1,-0.0777,-901,1/6,-312,-164,-0.1107
M15,10,1.8,3.8,moderate,ny,1411,-7,1.0,37.2,-0.0437,-790,3/6,-168,160,-0.0559
M15,10,1.8,3.8,conservative,all,2415,1491,1.14,33.8,-0.0199,-603,4/6,-438,1929,-0.0601
M15,10,1.8,3.8,conservative,asia,542,287,1.16,33.4,-0.0752,-388,2/6,-166,453,-0.1256
M15,10,1.8,3.8,conservative,ny,732,354,1.09,35.2,-0.0324,-472,3/6,-155,508,-0.0869
M15,10,1.8,5.0,moderate,all,4140,-99,0.99,34.1,-0.0383,-1187,2/6,-813,714,-0.0618
M15,10,1.8,5.0,moderate,asia,818,182,1.06,34.4,-0.0453,-402,1/6,-225,406,-0.0886
M15,10,1.8,5.0,moderate,ny,1297,95,1.01,38.2,-0.0181,-422,3/6,12,83,-0.03
M15,10,1.8,5.0,conservative,all,2716,1333,1.12,34.5,-0.0193,-530,3/6,-352,1684,-0.0515
M15,10,1.8,5.0,conservative,asia,588,572,1.3,35.5,-0.0332,-244,2/6,-133,705,-0.0827
M15,10,1.8,5.0,conservative,ny,801,247,1.06,36.7,-0.0017,-348,3/6,49,199,-0.0112
M15,10,2.5,-,direct,all,4259,223,1.01,33.6,-0.0403,-1525,2/6,-999,1222,-0.0821
M15,10,2.5,-,direct,asia,939,19,1.0,32.9,-0.0603,-456,1/6,-263,282,-0.1203
M15,10,2.5,-,direct,ny,1305,-650,0.92,36.6,-0.0314,-1011,1/6,-172,-477,-0.0368
M15,10,2.5,2.5,moderate,all,4259,223,1.01,33.6,-0.0403,-1525,2/6,-999,1222,-0.0821
M15,10,2.5,2.5,moderate,asia,939,19,1.0,32.9,-0.0603,-456,1/6,-263,282,-0.1203
M15,10,2.5,2.5,moderate,ny,1305,-650,0.92,36.6,-0.0314,-1011,1/6,-172,-477,-0.0368
M15,10,2.5,2.5,conservative,all,4259,223,1.01,33.6,-0.0403,-1525,2/6,-999,1222,-0.0821
M15,10,2.5,2.5,conservative,asia,939,19,1.0,32.9,-0.0603,-456,1/6,-263,282,-0.1203
M15,10,2.5,2.5,conservative,ny,1305,-650,0.92,36.6,-0.0314,-1011,1/6,-172,-477,-0.0368
M15,10,2.5,-,buy_only,all,2129,834,1.08,35.3,-0.0008,-625,3/6,-422,1257,-0.0717
