konfigurasi,n,net,PF,maxDD%,thn%,Ret/DD,hijau,merah%,beruntun,netSide
gate H1(sama) x3.8,2365,2384,1.48,-16.3,43.7,2.69,5/6,47,5,161
gate H1(sama) x5.0,2588,1975,1.36,-17.7,36.2,2.04,5/6,42,4,135
gate H1(sama) x6.0,2747,2080,1.36,-35.2,38.1,1.08,4/6,52,5,-90
gate H1(sama) x7.0,2862,2025,1.34,-40.9,37.1,0.91,5/6,47,5,-143
gate H4       x3.8,2944,1680,1.27,-43.7,30.8,0.7,5/6,52,6,-183
gate H4       x5.0,3041,1488,1.23,-24.7,27.3,1.1,5/6,47,5,51
gate H4       x6.0,3078,509,1.07,-42.1,9.3,0.22,3/6,56,6,-111
gate H4       x7.0,3106,463,1.07,-52.6,8.5,0.16,3/6,59,6,-136
gate D1       x3.8,3195,1182,1.17,-43.4,21.6,0.5,4/6,50,5,-292
gate D1       x5.0,3219,1814,1.26,-47.0,33.2,0.71,4/6,47,5,-338
gate D1       x6.0,3229,1846,1.26,-44.4,33.8,0.76,4/6,45,7,-247
gate D1       x7.0,3232,1558,1.22,-55.6,28.5,0.51,4/6,52,7,-402
