varian,n,net,PF,maxDD,RetDD,hijau,merah%,netSide
"BASELINE fase-9 (8 anggota, TP1:3)",4953,2136,1.4,-216,1.79,5/6,47,140
1. ENSEMBLE LEBAR (32: e1.8/2.5 x TP3/4),15716,1587,1.34,-283,1.02,5/6,45,141
2. lebar + breakeven @1.0R,15716,1509,1.33,-288,0.95,5/6,47,67
2. lebar + breakeven @1.5R,15716,1546,1.33,-289,0.97,5/6,47,115
3. lebar + partial 50% @1.0R,21602,1006,1.22,-315,0.58,5/6,47,4
3. lebar + partial 50% @1.5R,19518,1396,1.3,-292,0.87,5/6,47,35
4. lebar + buffer SL 0.25xATR,15716,1565,1.33,-293,0.97,5/6,45,148
4. lebar + buffer SL 0.5xATR,15716,1493,1.31,-316,0.86,5/6,47,129
5. lebar + time exit 24 bar,15716,1433,1.34,-303,0.86,5/6,42,-15
5. lebar + time exit 72 bar,15716,1586,1.34,-283,1.02,5/6,48,172
6. lebar + partial@1R + BE@1R,21602,1097,1.24,-315,0.63,5/6,44,41
