TF,mult_e,struct,TP_R,sesi,n,net,PF,WR%,avgR,maxDD,hijau,avgR_side,net_side,avgR_bull,net_bull
H1,1.8,10,3.0,asia,214,1573.0,1.19,37.4,0.095,-2565.0,5/6,0.09,-92.0,0.098,1665.0
H1,1.8,20,flip,asia,214,1601.0,1.2,38.3,0.074,-1727.0,4/6,-0.035,-220.0,0.147,1821.0
H1,1.8,20,3.0,asia,214,1126.0,1.14,38.3,0.067,-2136.0,5/6,0.008,-113.0,0.107,1239.0
H1,1.8,20,5.0,asia,214,1344.0,1.16,38.3,0.065,-1898.0,4/6,-0.035,-220.0,0.132,1564.0
H1,1.8,10,5.0,asia,214,574.0,1.07,37.4,0.062,-2565.0,4/6,0.026,-260.0,0.086,834.0
H1,1.8,20,4.0,asia,214,1232.0,1.15,38.3,0.057,-2017.0,4/6,-0.035,-220.0,0.119,1452.0
H1,1.8,10,flip,asia,214,507.0,1.06,37.4,0.056,-2565.0,3/6,0.014,-279.0,0.085,786.0
H1,1.8,10,4.0,asia,214,609.0,1.07,37.4,0.054,-2565.0,3/6,0.003,-295.0,0.088,904.0
H1,1.8,20,2.0,asia,214,1151.0,1.14,38.3,0.053,-2255.0,4/6,0.051,-52.0,0.054,1202.0
H1,1.8,10,2.0,asia,214,-116.0,0.99,37.4,0.053,-2565.0,4/6,0.073,-127.0,0.039,12.0
M30,1.8,20,4.0,asia,613,3310.0,1.31,32.8,0.021,-1426.0,4/6,-0.027,-228.0,0.068,3539.0
M30,1.2,20,3.0,ny,1658,2112.0,1.08,37.8,0.016,-1102.0,6/6,0.016,678.0,0.015,1433.0
H1,1.8,10,5.0,all,1629,3404.0,1.08,34.4,0.015,-2477.0,4/6,0.011,-21.0,0.019,3425.0
H1,1.8,10,4.0,all,1629,3461.0,1.08,34.5,0.014,-2679.0,3/6,0.006,-303.0,0.025,3763.0
H1,1.2,10,5.0,ny,778,-600.0,0.96,37.3,0.012,-2189.0,3/6,0.026,170.0,-0.008,-770.0
M15,1.8,10,3.0,ny,1927,806.0,1.03,37.5,0.011,-1368.0,4/6,0.022,772.0,-0.002,34.0
M30,1.2,20,5.0,ny,1658,1745.0,1.07,37.7,0.011,-1329.0,5/6,0.005,536.0,0.02,1209.0
H1,1.2,10,flip,ny,778,-941.0,0.94,37.3,0.011,-2336.0,2/6,0.031,119.0,-0.02,-1060.0
H1,1.8,20,3.0,ny,532,1040.0,1.09,36.3,0.01,-2243.0,4/6,0.023,357.0,-0.009,684.0
M15,1.8,20,3.0,ny,1927,923.0,1.03,37.7,0.01,-1423.0,4/6,0.024,818.0,-0.008,106.0
M30,1.2,20,4.0,ny,1658,1805.0,1.07,37.7,0.01,-1203.0,5/6,0.008,632.0,0.014,1173.0
M30,1.8,20,flip,asia,613,2779.0,1.26,32.8,0.009,-1524.0,3/6,-0.042,-373.0,0.059,3152.0
M30,1.2,20,flip,ny,1658,1474.0,1.06,37.7,0.009,-1329.0,4/6,0.001,407.0,0.02,1067.0
M30,1.2,10,5.0,ny,1658,837.0,1.03,37.3,0.008,-1331.0,4/6,0.007,539.0,0.008,298.0
H1,1.2,20,5.0,ny,778,-827.0,0.94,37.3,0.008,-2312.0,2/6,0.027,153.0,-0.019,-980.0
M30,1.2,10,4.0,ny,1658,990.0,1.04,37.3,0.007,-1294.0,5/6,0.009,658.0,0.005,332.0
M30,1.2,10,3.0,ny,1658,780.0,1.03,37.5,0.006,-1214.0,5/6,0.01,526.0,0.002,254.0
H1,1.8,20,5.0,all,1629,3046.0,1.07,35.1,0.006,-2090.0,4/6,0.004,-0.0,0.007,3046.0
H1,1.2,20,flip,ny,778,-1186.0,0.92,37.3,0.005,-2493.0,2/6,0.033,113.0,-0.036,-1300.0
