TF,atr,mult_e,sesi,mode,hijau,n_IS,PF_IS,avgR_IS,net_IS,DD_IS,n_OOS,PF_OOS,avgR_OOS,net_OOS,DD_OOS
H4,20,1.2,all,conservative,4/7,212,1.05,0.037,234.0,-1038.0,85,3.22,1.746,4451.0,-407.0
H1,7,1.8,london,direct,5/6,226,1.25,0.181,1229.0,-1046.0,75,2.67,1.44,3240.0,-577.0
H1,14,1.2,asia,direct,3/6,245,1.12,0.09,661.0,-1293.0,133,2.69,1.414,5643.0,-546.0
H1,10,1.2,asia,direct,4/6,236,1.24,0.175,1241.0,-1334.0,132,2.69,1.409,5579.0,-516.0
H4,10,1.2,all,conservative,5/7,216,1.05,0.033,216.0,-1302.0,83,2.76,1.373,3419.0,-424.0
H4,14,1.2,all,conservative,5/7,212,1.07,0.045,285.0,-1082.0,86,2.52,1.213,3128.0,-424.0
H1,7,1.2,asia,direct,6/6,216,1.41,0.303,1964.0,-909.0,138,2.43,1.205,4990.0,-671.0
H1,20,1.2,asia,direct,4/6,241,1.15,0.113,819.0,-1389.0,134,2.41,1.201,4829.0,-700.0
H1,10,2.5,ny,direct,3/6,257,1.04,0.027,207.0,-1269.0,72,2.37,1.158,2500.0,-546.0
M30,7,1.8,asia,direct,4/6,372,1.4,0.266,2974.0,-1288.0,181,2.42,1.119,6075.0,-546.0
M30,20,1.8,asia,direct,4/6,319,1.14,0.098,939.0,-1809.0,178,2.3,1.069,5708.0,-554.0
M30,10,1.8,asia,direct,4/6,323,1.27,0.193,1871.0,-1389.0,179,2.3,1.048,5626.0,-519.0
H4,7,1.2,all,conservative,5/7,223,0.97,-0.019,-128.0,-1502.0,84,2.26,0.959,2418.0,-388.0
M30,10,3.2,ny,direct,4/6,360,1.1,0.066,711.0,-1539.0,109,2.07,0.955,3123.0,-664.0
M30,14,1.8,asia,direct,4/6,325,1.34,0.237,2313.0,-1521.0,177,2.13,0.941,4995.0,-759.0
H1,20,2.5,ny,direct,2/6,260,0.85,-0.113,-884.0,-1940.0,71,2.09,0.935,1993.0,-546.0
M30,7,3.2,ny,direct,3/6,344,1.01,0.008,86.0,-1644.0,105,1.99,0.916,2886.0,-980.0
H1,10,1.2,ny,conservative,4/6,297,0.95,-0.022,-196.0,-740.0,68,2.43,0.905,1847.0,-187.0
H1,14,2.5,ny,direct,4/6,260,0.85,-0.112,-877.0,-1901.0,70,2.01,0.854,1792.0,-486.0
H4,20,1.8,all,direct,3/7,327,1.05,0.034,332.0,-848.0,121,2.05,0.854,3098.0,-416.0
H1,7,1.2,ny,conservative,3/6,303,1.01,0.006,55.0,-523.0,69,2.25,0.796,1647.0,-277.0
H1,14,1.2,ny,conservative,3/6,297,0.98,-0.01,-91.0,-606.0,75,2.22,0.784,1765.0,-212.0
H1,10,1.8,london,direct,5/6,221,1.27,0.194,1288.0,-851.0,67,1.91,0.766,1540.0,-789.0
M30,7,1.2,asia,direct,5/6,666,1.16,0.089,1787.0,-1512.0,281,1.97,0.751,6334.0,-892.0
H1,20,2.5,all,conservative,7/7,261,1.2,0.112,877.0,-473.0,90,1.93,0.715,1931.0,-676.0
H4,14,1.8,all,direct,5/7,319,1.07,0.048,462.0,-937.0,127,1.87,0.71,2703.0,-444.0
H1,7,1.2,all,conservative,4/7,822,0.93,-0.031,-759.0,-1482.0,274,1.96,0.68,5586.0,-434.0
H4,20,1.2,all,direct,4/7,523,1.02,0.015,233.0,-1411.0,197,1.81,0.68,4017.0,-1012.0
H4,14,2.5,all,direct,4/7,210,1.25,0.191,1201.0,-785.0,74,1.84,0.675,1498.0,-429.0
M30,7,3.2,ny,conservative,5/6,237,1.17,0.092,655.0,-693.0,60,1.89,0.668,1203.0,-370.0
M30,20,1.2,asia,direct,4/6,538,1.2,0.122,1975.0,-1654.0,281,1.82,0.658,5546.0,-1090.0
M30,14,3.2,ny,direct,4/6,368,1.04,0.026,282.0,-1586.0,107,1.71,0.644,2068.0,-793.0
M30,10,1.2,asia,direct,4/6,599,1.2,0.118,2112.0,-1787.0,283,1.8,0.623,5288.0,-854.0
M30,7,1.8,all,conservative,5/7,896,0.93,-0.027,-729.0,-1650.0,310,1.92,0.623,5795.0,-575.0
H1,14,1.2,all,conservative,3/7,810,0.89,-0.048,-1177.0,-1834.0,280,1.88,0.614,5156.0,-815.0
H1,20,1.2,ny,conservative,6/6,292,1.11,0.046,404.0,-413.0,74,1.92,0.608,1349.0,-273.0
H4,20,2.5,all,direct,4/7,204,1.37,0.279,1705.0,-698.0,78,1.75,0.607,1420.0,-546.0
H1,7,2.5,ny,direct,4/6,257,0.99,-0.008,-58.0,-1425.0,77,1.67,0.582,1345.0,-516.0
H1,20,1.2,all,conservative,5/7,812,0.99,-0.005,-134.0,-1205.0,281,1.8,0.57,4804.0,-698.0
H4,10,1.2,all,direct,5/7,523,1.02,0.012,186.0,-1288.0,199,1.67,0.566,3378.0,-1030.0
H1,10,1.2,all,conservative,4/7,821,0.95,-0.02,-505.0,-1388.0,277,1.78,0.549,4559.0,-785.0
M30,14,1.2,london,conservative,3/6,425,0.87,-0.036,-465.0,-563.0,155,1.91,0.547,2541.0,-516.0
M30,10,1.8,all,conservative,4/7,908,0.92,-0.033,-908.0,-1928.0,309,1.81,0.544,5042.0,-774.0
M30,14,1.2,asia,direct,4/6,566,1.12,0.074,1258.0,-1753.0,286,1.68,0.543,4659.0,-1162.0
H4,10,2.5,all,direct,5/7,212,1.24,0.188,1195.0,-846.0,72,1.66,0.537,1159.0,-567.0
H4,7,2.5,all,direct,4/7,214,1.13,0.101,648.0,-740.0,74,1.65,0.536,1191.0,-496.0
M30,20,3.2,london,direct,4/6,203,1.21,0.157,954.0,-874.0,69,1.58,0.505,1045.0,-789.0
H1,20,1.8,ny,direct,4/6,322,0.97,-0.023,-219.0,-1911.0,87,1.56,0.499,1303.0,-819.0
H1,14,1.8,london,direct,4/6,211,1.19,0.136,861.0,-1009.0,68,1.57,0.495,1009.0,-789.0
M30,10,3.2,london,direct,5/6,230,1.35,0.251,1734.0,-998.0,76,1.56,0.485,1107.0,-889.0
H1,20,1.2,london,direct,4/6,300,1.02,0.014,128.0,-557.0,99,1.55,0.472,1401.0,-892.0
M30,20,1.2,london,conservative,3/6,407,0.85,-0.046,-564.0,-658.0,151,1.8,0.471,2134.0,-537.0
H4,10,1.8,all,direct,4/7,327,0.99,-0.004,-41.0,-1181.0,127,1.56,0.464,1767.0,-687.0
H4,7,1.2,all,direct,4/7,539,0.97,-0.02,-316.0,-1077.0,203,1.56,0.458,2792.0,-653.0
H4,14,1.2,all,direct,5/7,519,1.07,0.043,669.0,-1148.0,201,1.51,0.433,2610.0,-1030.0
H1,7,1.2,london,direct,4/6,340,0.94,-0.047,-475.0,-1487.0,108,1.49,0.425,1377.0,-906.0
M30,10,1.2,london,conservative,3/6,447,0.87,-0.037,-500.0,-651.0,154,1.7,0.421,1946.0,-546.0
M30,7,1.2,london,conservative,4/6,446,1.01,0.002,21.0,-545.0,155,1.72,0.419,1947.0,-516.0
H1,7,1.8,all,conservative,6/7,446,1.07,0.033,441.0,-559.0,151,1.54,0.402,1823.0,-821.0
H1,20,1.8,london,direct,5/6,207,1.3,0.214,1326.0,-771.0,70,1.44,0.39,819.0,-971.0
M30,7,1.2,asia,conservative,3/6,316,0.8,-0.051,-488.0,-768.0,122,1.68,0.383,1403.0,-498.0
M30,7,1.2,london,direct,5/6,820,1.0,0.002,37.0,-1092.0,294,1.47,0.363,3200.0,-745.0
M30,14,1.8,london,conservative,1/6,201,0.55,-0.197,-1188.0,-1259.0,71,1.51,0.36,768.0,-588.0
H1,14,1.2,london,direct,3/6,311,0.97,-0.022,-208.0,-1143.0,104,1.41,0.358,1117.0,-922.0
M30,10,1.2,asia,conservative,3/6,290,0.9,-0.026,-224.0,-753.0,122,1.62,0.353,1290.0,-470.0
H1,14,1.8,all,conservative,7/7,431,1.25,0.123,1596.0,-436.0,154,1.48,0.352,1626.0,-458.0
M30,7,2.5,all,conservative,7/7,543,1.06,0.028,458.0,-876.0,178,1.46,0.343,1834.0,-544.0
M30,14,3.2,all,conservative,7/7,459,1.09,0.05,688.0,-821.0,147,1.42,0.334,1471.0,-701.0
M30,7,1.8,london,conservative,2/6,235,0.66,-0.141,-996.0,-1298.0,79,1.46,0.333,790.0,-572.0
M30,20,1.2,london,direct,4/6,705,1.04,0.021,445.0,-898.0,291,1.4,0.319,2786.0,-700.0
M30,14,1.8,all,conservative,4/7,909,0.92,-0.034,-919.0,-1889.0,299,1.49,0.319,2863.0,-687.0
M30,20,1.8,london,direct,5/6,433,0.99,-0.006,-83.0,-1057.0,156,1.37,0.318,1488.0,-668.0
M30,14,1.2,london,direct,4/6,741,1.03,0.019,414.0,-1086.0,296,1.39,0.314,2787.0,-803.0
H1,20,1.8,all,conservative,7/7,441,1.3,0.15,1981.0,-395.0,153,1.42,0.311,1428.0,-575.0
H1,10,2.5,all,direct,4/7,769,0.93,-0.04,-927.0,-1522.0,275,1.38,0.311,2562.0,-1214.0
M30,20,1.8,london,conservative,2/6,205,0.64,-0.158,-970.0,-1086.0,69,1.42,0.311,644.0,-523.0
H1,10,1.2,ny,direct,3/6,476,0.97,-0.023,-329.0,-1434.0,134,1.35,0.306,1228.0,-1170.0
M30,20,1.8,all,conservative,4/7,921,0.9,-0.044,-1229.0,-2248.0,308,1.46,0.304,2810.0,-736.0
H1,10,1.8,all,conservative,7/7,439,1.22,0.11,1447.0,-420.0,154,1.4,0.3,1388.0,-421.0
M30,10,1.8,london,conservative,2/6,223,0.67,-0.146,-973.0,-1033.0,72,1.41,0.296,639.0,-558.0
H1,7,3.2,all,conservative,4/7,268,1.28,0.17,1366.0,-802.0,92,1.35,0.295,814.0,-468.0
H1,7,1.2,ny,direct,2/6,478,0.85,-0.103,-1470.0,-2207.0,141,1.33,0.285,1206.0,-1225.0
M30,7,2.5,london,direct,4/6,345,1.11,0.072,743.0,-898.0,103,1.33,0.284,876.0,-1289.0
H4,7,1.8,all,direct,4/7,319,1.07,0.053,511.0,-898.0,129,1.33,0.276,1069.0,-1053.0
M30,10,1.8,ny,direct,4/6,665,0.93,-0.04,-801.0,-1761.0,203,1.33,0.276,1678.0,-1038.0
H1,14,2.5,all,direct,5/7,767,0.91,-0.052,-1191.0,-1847.0,275,1.34,0.275,2268.0,-1078.0
H1,20,3.2,all,conservative,5/7,235,1.23,0.144,1016.0,-904.0,65,1.31,0.274,534.0,-587.0
M30,10,1.2,london,direct,5/6,782,1.0,-0.0,-2.0,-1077.0,294,1.34,0.265,2338.0,-738.0
M30,14,2.5,all,conservative,4/7,509,0.99,-0.007,-102.0,-879.0,163,1.36,0.263,1285.0,-859.0
M30,14,1.2,all,conservative,5/7,1678,0.95,-0.015,-780.0,-1538.0,613,1.41,0.258,4753.0,-813.0
M30,20,1.2,all,conservative,5/7,1663,0.96,-0.013,-642.0,-1323.0,612,1.41,0.251,4614.0,-737.0
H1,20,3.2,all,direct,6/7,537,1.02,0.013,208.0,-1104.0,186,1.3,0.251,1402.0,-915.0
M30,10,2.5,ny,direct,4/6,450,0.99,-0.008,-106.0,-1601.0,138,1.28,0.234,970.0,-1093.0
H1,20,2.5,all,direct,5/7,765,0.97,-0.018,-411.0,-1126.0,291,1.28,0.231,2018.0,-1285.0
H1,7,1.2,all,direct,3/7,1973,0.92,-0.034,-1990.0,-2781.0,682,1.32,0.229,4692.0,-1193.0
M30,7,1.8,ny,direct,3/6,632,0.92,-0.05,-954.0,-1728.0,210,1.26,0.221,1394.0,-1107.0
M30,7,2.5,asia,direct,3/6,202,1.24,0.186,1125.0,-705.0,109,1.25,0.218,714.0,-1270.0
M30,10,1.2,all,conservative,4/7,1681,0.98,-0.007,-359.0,-1521.0,615,1.34,0.215,3961.0,-929.0
